GoodCustomer,Gender,ForeignWorker,Single,Age,LoanDuration,PurposeOfLoan,LoanAmount,LoanRateAsPercentOfIncome,YearsAtCurrentHome,NumberOfOtherLoansAtBank,NumberOfLiableIndividuals,HasTelephone,CheckingAccountBalance_geq_0,CheckingAccountBalance_geq_200,SavingsAccountBalance_geq_100,SavingsAccountBalance_geq_500,MissedPayments,NoCurrentLoan,CriticalAccountOrLoansElsewhere,OtherLoansAtBank,OtherLoansAtStore,HasCoapplicant,HasGuarantor,OwnsHouse,RentsHouse,Unemployed,YearsAtCurrentJob_lt_1,YearsAtCurrentJob_geq_4,JobClassIsSkilled
1,Male,0,1,63,15,Education,1538,3,3,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
-1,Male,0,1,19,11,NewCar,1236,2,2,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1
1,Female,0,0,44,30,Education,3758,2,4,4,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,Male,0,1,29,21,Other,4308,3,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
1,Male,0,1,28,6,Electronics,2445,3,4,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1
1,Male,0,1,28,54,UsedCar,1808,4,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
1,Male,0,1,64,39,Repairs,1037,2,2,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1
-1,Male,0,1,74,40,Other,2124,4,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,Female,0,0,54,26,Furniture,707,4,4,2,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1
1,Male,0,1,45,8,UsedCar,3757,4,2,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1
1,Male,0,1,30,12,NewCar,888,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,Female,0,1,28,12,Electronics,1823,4,4,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0
1,Male,0,1,30,24,Electronics,1919,3,2,4,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1
