GoodCustomer,Gender,ForeignWorker,Single,Age,LoanDuration,PurposeOfLoan,LoanAmount,LoanRateAsPercentOfIncome,YearsAtCurrentHome,NumberOfOtherLoansAtBank,NumberOfLiableIndividuals,HasTelephone,CheckingAccountBalance_geq_0,CheckingAccountBalance_geq_200,SavingsAccountBalance_geq_100,SavingsAccountBalance_geq_500,MissedPayments,NoCurrentLoan,CriticalAccountOrLoansElsewhere,OtherLoansAtBank,OtherLoansAtStore,HasCoapplicant,HasGuarantor,OwnsHouse,RentsHouse,Unemployed,YearsAtCurrentJob_lt_1,YearsAtCurrentJob_geq_4,JobClassIsSkilled
1,Male,0,0,43,4,Electronics,731,4,4,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1
-1,Male,0,0,21,27,Electronics,250,4,3,2,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1,Male,0,0,70,17,Electronics,3349,4,4,2,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1
1,Male,0,0,26,24,HomeAppliances,250,4,2,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1
1,Male,0,0,26,22,Furniture,2063,2,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
-1,Female,0,1,19,23,Furniture,18424,1,2,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
-1,Female,0,0,34,22,Education,1274,1,4,1,2,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0
-1,Female,0,0,47,60,HomeAppliances,4782,2,4,1,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1
1,Male,0,1,19,40,Electronics,2239,4,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1
1,Male,0,0,38,27,Electronics,2130,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
-1,Male,0,1,19,24,Furniture,1417,2,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1
1,Male,0,0,28,47,UsedCar,475,4,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1,Male,0,1,54,72,Electronics,250,2,2,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,Female,0,0,30,27,Electronics,14001,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,Female,0,0,52,27,Electronics,250,4,4,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,Male,0,0,49,26,NewCar,1336,1,2,1,2,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1
1,Female,0,0,19,28,Electronics,250,2,3,1,2,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
-1,Male,0,0,28,22,Business,6640,2,4,1,2,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1,Male,0,1,35,27,Electronics,250,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1
1,Female,0,0,19,20,Electronics,2257,4,4,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
1,Female,0,0,37,22,Education,3678,4,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1
1,Male,0,1,34,5,NewCar,1493,4,4,2,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
-1,Female,0,0,49,26,Business,2974,1,3,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
1,Male,0,0,43,37,Electronics,1311,2,4,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
1,Male,0,0,34,66,UsedCar,3051,2,2,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
1,Male,0,0,25,25,NewCar,3615,2,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,Female,0,0,50,21,Furniture,1063,1,4,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
1,Female,0,0,26,58,HomeAppliances,250,4,4,2,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1,Female,0,1,19,27,HomeAppliances,6208,4,3,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
1,Male,0,0,31,33,Electronics,3341,2,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,Female,0,0,37,72,Electronics,10162,2,4,2,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1
1,Male,0,0,35,45,Electronics,1596,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
-1,Female,0,0,19,26,NewCar,250,1,2,1,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
1,Female,1,1,24,69,UsedCar,18424,2,4,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
-1,Male,0,0,19,45,Furniture,250,2,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,Male,0,0,75,23,Business,4635,2,4,2,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
-1,Female,0,0,26,19,Electronics,250,2,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,Male,0,1,19,10,Furniture,581,1,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
-1,Male,0,0,59,25,Education,5713,4,3,1,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,Male,0,0,75,33,NewCar,3858,4,2,1,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,Male,0,1,28,33,Education,18424,4,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,Male,0,1,37,4,Electronics,7235,4,1,2,2,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
1,Male,0,1,24,50,Electronics,2559,1,2,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1
1,Male,0,0,21,25,Electronics,4651,1,3,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,Male,0,1,21,26,Repairs,18424,2,3,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1,Male,0,1,19,25,NewCar,250,2,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,Male,0,0,45,23,Electronics,18424,1,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,Male,0,1,75,26,UsedCar,1377,4,4,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
1,Male,1,0,28,22,Electronics,794,2,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
1,Male,0,0,19,22,Electronics,250,1,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,Male,0,1,75,21,Education,639,4,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,Female,0,0,60,23,HomeAppliances,250,3,2,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1,Male,0,1,19,24,Electronics,2476,1,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
-1,Male,0,1,57,28,Electronics,1226,1,3,2,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0
