GoodCustomer,Gender,ForeignWorker,Single,Age,LoanDuration,PurposeOfLoan,LoanAmount,LoanRateAsPercentOfIncome,YearsAtCurrentHome,NumberOfOtherLoansAtBank,NumberOfLiableIndividuals,HasTelephone,CheckingAccountBalance_geq_0,CheckingAccountBalance_geq_200,SavingsAccountBalance_geq_100,SavingsAccountBalance_geq_500,MissedPayments,NoCurrentLoan,CriticalAccountOrLoansElsewhere,OtherLoansAtBank,OtherLoansAtStore,HasCoapplicant,HasGuarantor,OwnsHouse,RentsHouse,Unemployed,YearsAtCurrentJob_lt_1,YearsAtCurrentJob_geq_4,JobClassIsSkilled
-1,Male,0,1,34,12,NewCar,1228,4,2,1,2,0,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
-1,Male,1,1,53,14,NewCar,8978,1,4,1,1,1,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1,Male,1,1,34,18,NewCar,2662,4,2,1,1,0,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
1,Male,0,1,29,15,Furniture,3643,1,2,2,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1,Male,0,0,39,9,Furniture,2136,3,4,1,1,0,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
1,Male,0,1,30,12,NewCar,1495,4,2,2,2,0,0,0,0.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1,Male,0,1,41,24,Other,6314,4,2,2,1,1,0,0,0.0,0,1,0,1,1,0,0,0,1,0,0,0,0,1
-1,Male,0,1,32,21,NewCar,1647,4,2,2,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Male,0,1,50,9,Business,1449,3,4,2,1,0,0,0,0.0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,Male,0,1,37,15,Furniture,2186,1,3,1,2,0,0,0,1.0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1,Male,0,1,28,6,NewCar,783,1,2,1,1,0,0,0,0.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
-1,Male,0,1,27,14,NewCar,8978,2,1,1,1,1,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
1,Male,0,1,36,12,NewCar,2859,4,2,1,2,1,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
-1,Male,0,1,48,24,Electronics,1546,4,4,1,1,0,0,0,0.0,0,1,1,0,1,0,0,1,1,0,0,0,0,0
1,Male,0,0,28,21,UsedCar,2993,3,2,2,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,Male,0,0,33,12,Furniture,1258,2,2,2,1,0,0,0,0.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
-1,Male,0,1,36,30,Furniture,2406,4,4,1,1,0,0,0,1.0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
1,Male,0,1,29,24,Business,4526,3,2,1,1,1,0,0,0.0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
1,Male,0,1,26,12,Furniture,3590,2,2,1,1,0,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
-1,Male,0,1,65,21,Business,2767,4,4,1,1,0,0,0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,Male,0,0,33,24,Electronics,2611,4,2,2,1,0,0,0,0.0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
1,Male,0,1,55,20,NewCar,3485,2,4,2,2,1,0,0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
1,Male,0,1,48,39,Furniture,14179,4,4,2,2,1,0,0,0.0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
1,Male,0,0,32,4,NewCar,1455,2,1,4,1,0,0,0,0.0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
-1,Male,0,1,42,15,NewCar,950,4,4,2,1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,Male,0,1,35,36,Electronics,2394,4,2,1,1,0,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
-1,Male,0,1,32,21,NewCar,12680,4,2,1,1,1,0,0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
-1,Male,0,1,47,15,HomeAppliances,1275,4,4,1,2,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,Male,0,0,42,18,NewCar,2032,4,1,2,1,1,0,0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,Female,0,0,64,12,Education,2748,2,3,2,1,0,0,0,0.0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
1,Female,0,0,23,47,NewCar,10722,1,2,1,1,1,0,0,0.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1,Female,0,0,37,18,Electronics,2238,2,4,2,1,0,0,0,0.0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
1,Female,0,0,20,12,NewCar,2133,4,4,1,1,1,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
1,Female,0,0,29,12,Furniture,1258,2,2,2,1,0,0,0,0.0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
1,Female,0,0,23,12,Business,1412,4,4,2,1,1,0,0,0.0,0,1,0,1,0,0,0,0,1,0,0,1,0,1
1,Female,0,0,23,18,Furniture,1049,4,4,1,1,0,0,0,0.0,0,1,0,1,0,0,0,0,1,0,0,1,0,1
-1,Female,0,0,40,48,Business,3844,4,4,1,1,0,1,0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
-1,Female,0,0,29,9,Electronics,1670,4,2,1,1,1,0,0,1.0,1,1,0,0,0,0,0,0,1,0,0,1,0,1
1,Male,0,1,49,15,UsedCar,4657,3,3,1,2,1,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
1,Male,0,1,25,15,UsedCar,3368,3,4,2,1,1,0,0,1.0,1,1,0,1,0,0,0,0,1,0,0,0,0,1
-1,Male,0,1,45,12,Furniture,2762,1,4,3,2,1,1,0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
1,Male,0,1,33,6,Retraining,1238,4,1,1,2,1,0,0,1.0,1,1,0,0,0,0,0,0,1,0,0,1,0,1
1,Male,0,1,30,36,UsedCar,5800,3,2,2,1,1,1,0,0.0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
1,Male,0,0,43,12,NewCar,7472,1,1,1,2,0,1,1,0.0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
-1,Male,0,1,32,18,Furniture,1131,4,2,1,1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
-1,Male,0,1,34,12,NewCar,939,4,2,2,1,1,1,0,0.0,0,1,0,1,0,0,0,0,1,0,1,0,0,1
-1,Female,0,0,54,30,Repairs,11998,1,2,1,1,1,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,Female,0,0,54,9,Furniture,2406,2,2,2,1,0,0,0,0.0,0,1,0,1,0,0,0,0,0,1,0,0,1,1
-1,Female,0,0,34,42,Electronics,7174,4,4,1,1,1,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
-1,Female,0,0,23,30,Furniture,6350,4,4,1,1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
-1,Female,0,0,24,18,Furniture,2473,4,4,1,1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,Female,0,0,25,12,Education,2096,4,1,1,1,0,0,0,1.0,1,1,0,1,0,0,0,0,0,1,0,1,0,0
1,Female,0,0,37,12,Furniture,1858,4,4,1,1,0,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
-1,Female,0,0,35,12,Furniture,7865,4,3,1,2,1,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
-1,Female,0,0,27,12,Education,795,4,2,1,1,0,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,Female,0,0,23,42,Electronics,7166,2,4,1,1,1,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
-1,Female,0,0,22,12,Electronics,709,4,4,1,1,0,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
-1,Female,0,0,40,36,Business,9572,1,3,2,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
-1,Female,0,0,34,9,Furniture,1980,2,4,2,1,0,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
-1,Female,0,0,37,6,Furniture,4611,1,1,1,1,0,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
1,Male,0,1,36,24,UsedCar,6419,2,4,2,1,1,0,0,0.0,0,1,0,1,0,0,1,0,0,0,0,1,0,1
-1,Male,0,1,31,15,Furniture,975,2,4,1,1,0,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
1,Male,0,1,47,24,UsedCar,6842,2,1,2,1,1,0,0,0.0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
1,Male,0,1,24,12,Furniture,1935,4,4,1,1,1,1,1,0.0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
1,Male,0,1,36,12,Education,701,4,4,2,1,0,0,0,0.0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
-1,Male,0,1,36,12,Electronics,727,4,4,1,2,1,0,0,1.0,1,1,0,0,0,0,0,0,1,0,0,0,1,1
-1,Male,0,1,33,24,Electronics,5943,1,1,3,1,1,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
-1,Male,0,1,30,12,HomeAppliances,741,4,2,1,1,0,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,Male,0,1,74,12,Repairs,996,4,2,2,1,0,0,0,0.0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
-1,Male,0,0,34,9,UsedCar,5129,2,1,1,1,1,0,0,0.0,0,1,1,0,1,0,0,0,1,0,0,1,0,1
-1,Female,0,0,74,18,NewCar,3966,1,4,2,2,1,0,0,0.0,0,1,0,1,1,0,0,0,0,0,0,0,1,1
1,Female,0,0,26,15,NewCar,1403,2,4,1,1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1,Female,0,0,24,24,Electronics,3660,2,2,1,2,0,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
-1,Female,0,0,29,15,Electronics,2327,2,4,1,1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
-1,Female,0,0,33,12,Education,719,4,1,1,1,0,0,0,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
1,Female,0,0,28,18,Electronics,1126,4,4,1,1,1,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,Female,0,0,50,12,Business,1412,4,4,2,1,1,0,0,0.0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
-1,Female,0,0,25,18,Furniture,2473,4,4,1,1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
-1,Female,0,0,36,30,NewCar,2150,4,4,2,2,0,0,0,0.0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
